,Station,Latitude,Longitude,Zone,Postcode,Places to visit nearby,Fun fact
0,Abbey Road,51.5319519954729,0.0037233710983363,3,E15 3NB,<to_complete>,<to_complete>
1,Abbey Wood,51.4907842954371,0.120271970640651,4,SE2 9RH,<to_complete>,<to_complete>
2,Acton Central,51.5087573512534,-0.263430195325689,2,W3 6BH,<to_complete>,<to_complete>
3,Acton Main Line,51.51688649516289,-0.267689948014248,3,W3 9EH,<to_complete>,<to_complete>
4,Acton Town,51.5030709863634,-0.280302696832724,3,W3 8HN,<to_complete>,<to_complete>
5,Addington Village,51.356238539495,-0.032665100332062,3,CR0 5AR,<to_complete>,<to_complete>
6,Addiscombe,51.3798081721677,-0.0732132825198677,3,CR0 7AA,<to_complete>,<to_complete>
7,Albany Park,51.435815816166304,0.126444638720462,5,DA5 3HP,<to_complete>,<to_complete>
8,Aldgate,51.5143422574978,-0.0756269123224863,1,EC3N 1AH,<to_complete>,<to_complete>
9,Aldgate East,51.5150815056987,-0.0730014624207396,1,E1 7PT,<to_complete>,<to_complete>
10,Alexandra Palace,51.598262628606,-0.120148971360812,3,N22 7ST,<to_complete>,<to_complete>
11,All Saints,51.5104769064124,-0.01262488536035,2,E14 0EH,<to_complete>,<to_complete>
12,Alperton,51.5412087864384,-0.299515753475578,4,HA0 4LL,<to_complete>,<to_complete>
13,Amersham,51.674128328342704,-0.606513767877791,9,HP6 5AZ,<to_complete>,<to_complete>
14,Ampere Way,51.3822992198881,-0.123636798461907,3,CR0 3JX,<to_complete>,<to_complete>
15,Anerley,51.4125166137511,-0.0651370998790191,4,SE20 8PY,<to_complete>,<to_complete>
16,Angel,51.5329678453984,-0.105581448303789,1,N1 8XB,<to_complete>,<to_complete>
17,Angel Road,51.6124202424758,-0.048732919239143,4,N18 3AY,<to_complete>,<to_complete>
18,Archway,51.5654903154597,-0.135121575621473,2,N19 5RQ,<to_complete>,<to_complete>
19,Arena,51.3915226589885,-0.0583185498869123,3,SE25 4RY,<to_complete>,<to_complete>
