;;
Station;Blurb;Sightseeing Note
Abbey Road;Explore the historic House Mill and the Three Mills film studios near this Docklands station, showcasing industrial heritage on the River Lea.;Explore the historic House Mill and the Three Mills film studios near this Docklands station, showcasing industrial heritage on the River Lea.
Acton Town;Gunnersbury Park and Museum offer landscaped gardens and local history a short walk from the station.;Gunnersbury Park and Museum offer landscaped gardens and local history a short walk from the station.
Aldgate;See the historic Aldgate Pump and visit the nearby Whitechapel Gallery for contemporary art.;See the historic Aldgate Pump and visit the nearby Whitechapel Gallery for contemporary art.
Aldgate East;Head to Brick Lane for famous curry houses, vintage shops and colourful street art.;Head to Brick Lane for famous curry houses, vintage shops and colourful street art.
All Saints;Chrisp Street Market and the Lansbury Estate sit just outside this Docklands station.;Chrisp Street Market and the Lansbury Estate sit just outside this Docklands station.
Alperton;Walk along the Grand Union Canal or explore the vibrant shops on Ealing Road known as Little India.;Walk along the Grand Union Canal or explore the vibrant shops on Ealing Road known as Little India.
Amersham;Wander through the picturesque old town of Amersham and the surrounding Chiltern Hills.;Wander through the picturesque old town of Amersham and the surrounding Chiltern Hills.
Angel;Browse antiques at Camden Passage and enjoy the boutiques and cafes of Upper Street.;Browse antiques at Camden Passage and enjoy the boutiques and cafes of Upper Street.
Archway;Climb up to Waterlow Park and nearby Highgate Cemetery, resting place of Karl Marx.;Climb up to Waterlow Park and nearby Highgate Cemetery, resting place of Karl Marx.
Arnos Grove;Visit Arnos Park with its streamside walks and remnants of the old manor house.;Visit Arnos Park with its streamside walks and remnants of the old manor house.
Arsenal;Tour Emirates Stadium, home of Arsenal Football Club, and its interactive museum.;Tour Emirates Stadium, home of Arsenal Football Club, and its interactive museum.
Baker Street;Step into Sherlock Holmes’ world at 221B Baker Street or meet wax celebrities at Madame Tussauds.;Step into Sherlock Holmes’ world at 221B Baker Street or meet wax celebrities at Madame Tussauds.
Balham;Sample global food at Hildreth Street Market or catch live music at The Bedford pub.;Sample global food at Hildreth Street Market or catch live music at The Bedford pub.
Bank;Explore the Bank of England Museum on Threadneedle Street and the Royal Exchange.;Explore the Bank of England Museum on Threadneedle Street and the Royal Exchange.
Barbican;Experience concerts, films and exhibitions at the Barbican Centre, Europe’s largest arts venue.;Experience concerts, films and exhibitions at the Barbican Centre, Europe’s largest arts venue.
Barking;Discover the medieval ruins of Barking Abbey and the Tudor Eastbury Manor House.;Discover the medieval ruins of Barking Abbey and the Tudor Eastbury Manor House.
